#source,target,weight
0,0,0.027350227137
0,1,0.0109577991793
0,3,0.0021604954297
0,4,0.000455421709553
0,6,0.000298216559891
0,11,0.000158979487537
0,12,3.20903434441e-05
0,21,9.13182893985e-06
0,22,2.40086723445e-05
0,23,3.18082273249e-05
0,27,0.00131287740735
0,28,0.000404373722888
0,29,0.000712365137411
0,31,0.000843137215983
0,33,0.00979942175954
0,34,0.000511793134482
0,35,0.00131533437374
0,36,0.00756401011648
0,37,0.000389448825758
0,38,0.00311038890797
0,40,0.00059358156486
0,76,2.6611853001e-05
1,1,0.00287931827079
1,34,0.0137773598821
1,35,0.00251762978154
1,4,0.0017162360923
1,33,0.00193027450763
1,6,0.00176105911685
1,7,3.72346795795e-06
1,72,1.5883079783e-06
1,74,3.01672072053e-06
1,82,8.59565610231e-05
1,37,0.00186723615002
1,21,8.43885034685e-05
1,22,0.000128615003276
1,23,0.000318319471256
1,36,0.0415482064636
1,29,3.15242091291e-05
1,31,0.000177342086238
2,2,0.000805355426181
2,35,0.025984567988
2,36,0.000837081182739
2,37,0.000992810674584
2,6,0.000317164697054
2,7,5.46054921402e-05
2,41,0.000430236996798
2,74,8.64937255389e-05
2,43,0.0067011001502
2,44,0.00349350886128
2,34,0.00114363768474
2,77,5.38321151566e-05
2,47,0.00173746032681
2,48,6.86487378476e-06
2,76,2.47634779958e-05
2,3,0.00203967164923
3,3,0.00698034511258
3,6,0.000261152458968
3,7,0.00205435803518
3,11,0.00510328195874
3,12,0.00230565151398
3,27,5.28556527055e-05
3,28,0.00018276162433
3,29,0.000206267728473
3,31,0.00016368810147
3,33,0.000268505384088
3,34,0.000143885949712
3,35,0.0377470517016
3,36,0.0130633711751
3,37,0.000272051359649
3,38,0.0261846723694
3,40,6.48961966673e-05
3,41,0.000799399976717
3,43,0.000963398109253
3,44,0.0162594191864
3,47,0.000666204319972
3,48,9.77969596944e-05
3,52,0.00168766349953
3,74,4.73795729872e-05
3,76,0.00257691238395
3,77,4.40181435899e-05
4,34,0.0027302758572
4,35,0.00440461624929
4,4,0.00853169297071
4,5,0.00221136799919
4,6,0.0010338421756
4,7,0.00352135915517
4,8,0.000251210212423
4,82,0.000131231889818
4,16,0.000115212276752
4,18,3.75438685798e-06
4,21,3.92288901497e-06
4,22,1.78575526959e-06
4,23,7.96603651806e-06
4,36,0.0249781250649
4,33,0.0166677131274
4,37,0.000282304827035
4,29,0.000926344764792
4,30,0.000113331857759
4,31,3.88411437065e-05
5,32,5.03114069707e-05
5,33,0.000430900746432
5,35,2.86353947799e-05
5,5,0.00704904380098
5,6,0.00030279264758
5,7,0.0172191813587
5,8,0.0275912877009
5,9,0.00101769288221
5,16,0.00646214161234
5,18,0.00089442890813
5,36,0.000131379251597
5,28,4.16186440736e-05
5,29,0.000208262321254
5,31,1.6610943679e-05
6,6,0.0218775631093
6,7,0.0162206915164
6,8,0.0140163785677
6,12,5.47252624509e-06
6,21,1.06765053106e-05
6,22,2.45050118457e-05
6,23,5.4090773961e-05
6,28,1.94581144178e-06
6,29,4.53256178426e-06
6,31,2.18883002547e-05
6,33,0.000168653203729
6,34,0.00684057622026
6,35,0.0138583407081
6,36,0.00944954577159
6,37,0.000489904114584
6,41,5.90724516379e-06
6,42,2.457379595e-06
6,43,0.000702118168924
6,44,0.00056401180676
6,45,2.06723577651e-06
6,47,0.00218897915601
6,48,0.00212571552567
6,72,7.6821575508e-07
6,74,7.57798340768e-06
6,75,1.80161205225e-06
6,77,3.73010147908e-06
6,82,4.80220697179e-05
7,7,0.0302067887349
7,8,0.00134394467885
7,9,0.00159671804755
7,10,0.00489335474455
7,11,0.00212047766148
7,12,0.0150861264628
7,13,0.0135095414974
7,14,0.000442624503687
7,19,1.66266229204e-06
7,33,3.77241763696e-05
7,34,0.0412513710976
7,35,0.00176419842909
7,36,0.0108367637486
7,37,0.000438106576471
7,38,2.82322502374e-05
7,41,6.14613627533e-06
7,42,2.16076655438e-06
7,43,0.000146455356373
7,44,0.000108247445186
7,45,2.31618281517e-05
7,47,0.00113991534992
7,48,0.0380324901803
7,49,2.10378898505e-06
7,50,0.000442559757429
7,53,0.000501291642516
7,54,7.4475735467e-05
7,75,9.81109197072e-06
7,77,2.21617632509e-06
7,82,0.0122206842648
8,48,0.00478688423345
8,34,0.00375706724611
8,35,5.76651356565e-05
8,8,0.0137768055574
8,9,0.0141195900383
8,75,8.57735158213e-06
8,50,0.000102475538191
8,15,4.71133352972e-05
8,16,5.62560472108e-06
8,17,1.9183502341e-05
8,18,0.0124256240422
8,82,0.000655380125355
8,22,2.34886072385e-06
8,36,9.83499888082e-06
8,28,0.00387628074801
8,29,0.000875522232369
9,9,0.0149202588879
9,10,0.000666206131443
9,13,0.0204653042752
9,15,0.00233691115735
9,16,0.000762045826228
9,17,6.93969243164e-05
9,18,0.00187482621202
9,29,6.30594303474e-06
9,33,0.0018557345791
9,34,0.0352067096411
9,35,0.00501272341669
9,36,0.00198333828459
9,37,0.00754001490647
9,48,0.000278522177536
9,50,0.00997647121889
9,51,0.000298365543039
9,54,0.000225700663082
9,56,0.000200968870339
9,60,4.26292550278e-05
9,62,4.9916063842e-05
9,72,4.6875856822e-06
9,75,6.44571922017e-06
9,76,0.000535381396283
9,82,0.0220398226204
10,10,0.0292808882368
10,13,0.0795998797265
10,14,0.00331880276822
10,15,0.000238386301077
10,17,0.000221656730155
10,19,0.000381213809999
10,34,0.00126822959468
10,35,0.00112709550226
10,48,2.46064649209e-05
10,50,0.00010113955628
10,51,0.000116363739971
10,54,3.1380677036e-05
10,55,7.99718693327e-05
10,56,0.00109678955581
10,58,0.00211332846356
10,60,1.60939881338e-05
10,72,1.74126700329e-05
10,73,8.00670137203e-06
10,75,5.74637711834e-06
10,76,0.000461394062822
11,38,0.0168334552246
11,11,0.00735186299974
11,12,0.0272861862878
11,13,0.000839128493861
11,48,0.000125161830381
11,52,0.00172121276571
12,35,2.54039705589e-05
12,38,0.0151716750065
12,12,0.0102774122185
12,13,0.0122318548795
12,14,0.00647156886276
12,48,0.00122001404998
12,19,0.000277063118489
12,52,0.000411358046916
12,53,0.00618025538964
12,54,8.05394871541e-05
13,51,0.00354733285657
13,13,0.0390669036792
13,14,0.0084187663136
13,15,0.00186020565252
13,48,0.00127743445246
13,17,7.1761141815e-05
13,50,0.0034145780683
13,19,0.00725722920885
13,54,0.0144253842144
13,55,0.00171741209803
13,56,0.00150333965551
13,39,8.26290564447e-05
13,58,0.000814682646597
13,76,8.46105620831e-05
13,60,5.75098671969e-06
13,73,1.75324734799e-05
14,34,0.000527745669319
14,75,0.000236595786352
14,36,8.8671252139e-06
14,72,3.51709253107e-05
14,39,0.00337556272041
14,14,0.0112886799895
14,17,0.000745582222982
14,19,0.0405109898612
14,74,0.00027249775905
14,54,0.00010295339145
14,23,0.000267924333656
14,24,3.03666604058e-05
14,25,0.0046867215725
14,26,0.00012858247918
14,60,0.00388949168415
14,58,0.00175817573011
14,55,0.0248841948983
15,33,0.00449183144427
15,34,0.00700062432986
15,35,0.00503052323133
15,36,0.0124554917462
15,37,0.00581186662227
15,76,0.000368412349406
15,15,0.0143623206224
15,16,0.00475914275941
15,17,0.000253212385859
15,50,4.79130710686e-06
15,51,0.000252983219037
15,82,0.00323954780335
15,54,5.11948248112e-06
15,56,0.000600331341609
15,58,4.7939270157e-05
16,32,0.000586611873307
16,33,0.0118831684405
16,34,0.00015203399426
16,35,1.38049541521e-05
16,82,0.000161820715542
16,16,0.0175636467366
16,17,0.00490741193484
16,18,0.000375611086047
16,36,0.00190359802839
16,37,0.000189381199401
16,28,3.26938150006e-06
16,29,0.00155545372859
16,30,0.00135969669655
16,31,0.000267975266562
17,17,0.0118299070465
17,18,0.00335565917777
17,19,0.00919258332719
17,20,0.000418830669551
17,21,0.000924787173586
17,22,0.000711375902644
17,23,6.0818492167e-05
17,24,1.98403572232e-05
17,25,0.00013863334433
17,26,1.79088668234e-05
17,28,0.00199635265664
17,29,1.85438279955e-05
17,31,0.00145568164772
17,32,0.000396667115409
17,33,0.000886820112596
17,34,0.0289115784187
17,35,0.000484124156418
17,36,0.0118711143729
17,37,0.000217471315285
17,40,6.48469901214e-05
17,51,4.8426778741e-06
17,55,5.79097132906e-05
17,56,0.000137984570588
17,58,0.00756916440564
17,60,0.00212220265437
17,61,5.02088860108e-05
17,62,0.00033254728125
17,63,0.00126228695944
17,69,4.80817983585e-05
17,70,9.6365151091e-06
17,72,0.00055102860809
17,74,0.000224808653024
17,75,0.000297702678961
17,76,0.000278951145686
17,82,0.0070902920607
18,32,0.000116312023989
18,33,0.000236343528764
18,34,0.00179165161863
18,35,9.7814272587e-06
18,82,0.00194191700231
18,18,0.0183574719545
18,22,0.0064738689214
18,40,1.46624609148e-05
18,36,0.0025147310685
18,26,2.97191028063e-06
18,37,2.94068305398e-05
18,28,0.00435537908108
18,29,0.0085222771165
18,30,0.00485998451251
18,31,0.000478861238352
19,19,0.0183217855923
19,20,0.0022248992246
19,21,0.00275669052544
19,22,1.10477977231e-05
19,23,0.000314466616463
19,24,2.08690110238e-05
19,25,2.18721541088e-05
19,28,2.3942632707e-06
19,34,0.00101769708858
19,35,0.00046280900187
19,36,0.000318521586613
19,39,0.0016154683255
19,51,2.52132697524e-05
19,55,0.000230354110327
19,56,0.000164207760118
19,58,0.00503848332483
19,60,0.00342204049222
19,61,4.88449350579e-05
19,62,0.000199707445975
19,63,0.000820114027959
19,70,8.00614978244e-06
19,72,0.000230524210611
19,74,0.000673908987756
19,75,7.30748542811e-05
19,76,0.000157211996872
19,82,2.79140973249e-05
20,36,4.23970528972e-05
20,20,0.0153546822744
20,21,0.0349379489624
20,22,0.00145711193907
20,23,0.00281955778629
20,24,4.28950940065e-05
20,25,0.000272447693705
20,58,0.000161693112627
20,63,0.000287552453913
20,60,0.000249578459229
20,62,0.000609391576883
20,31,2.63259583313e-06
21,21,0.00455995757652
21,22,0.000715498368384
21,23,0.0267440442381
21,24,0.000895498403152
21,25,0.00118709764346
21,28,0.000481831028243
21,29,2.98894892202e-05
21,31,0.00213744404315
21,33,0.00490734040792
21,36,0.0111048741103
21,37,0.000177906703519
21,39,0.000475585154312
21,58,0.000545944547852
21,60,0.00233158144689
21,61,1.94784444338e-05
21,62,0.0106077345032
21,63,0.0031834727611
21,64,4.88151365553e-05
21,72,2.24334548575e-06
22,22,0.017970154127
22,23,0.000612461989003
22,24,0.012026374533
22,28,0.00713698214043
22,29,0.000170826073337
22,31,0.00175382279565
22,32,6.52680999565e-06
22,33,0.00399860426089
22,34,2.56093165115e-05
22,36,0.00661214460433
22,37,1.18171238589e-05
22,39,1.90060067777e-05
22,58,0.000432644116721
22,60,7.0029865445e-05
22,61,2.00578817934e-06
22,62,0.000216940816854
22,63,0.00099383899634
22,82,5.65891834964e-05
23,23,0.00447642185459
23,24,0.00309206105466
23,25,0.00347435955089
23,26,1.15409845362e-05
23,28,0.000620731313875
23,29,0.000221127984322
23,31,0.00113278097238
23,33,0.00199552664277
23,34,9.20426823367e-06
23,36,0.00404984060431
23,37,0.000513371763372
23,39,0.000977301145904
23,55,5.53278240587e-05
23,58,0.000201729666831
23,60,0.00171083389925
23,61,3.50113976016e-05
23,62,0.000826290745993
23,63,0.00021790136139
23,64,0.000330485992207
23,72,1.00584926386e-06
23,75,1.49536931629e-05
24,24,0.0186824311989
24,25,0.00725481526921
24,26,9.27271571196e-05
24,28,0.00417602129375
24,29,0.000505496837214
24,31,0.000440446945859
24,33,2.89659756011e-05
24,34,0.000128298669204
24,36,0.00154186438532
24,37,0.000985955726044
24,39,0.00463753148613
24,40,0.000782688779117
24,60,3.18161664088e-06
24,64,8.86380436475e-06
24,82,8.9862718177e-06
25,36,8.10805459383e-06
25,39,0.0097969072241
25,40,9.74607713313e-05
25,25,0.0188936999655
25,26,0.0149791825156
25,28,7.56269749737e-05
26,34,0.000139277746111
26,36,0.00210562141861
26,37,0.00834690218502
26,39,0.0191339745059
26,40,0.0276874464308
26,82,1.21363027847e-05
26,26,0.0167535149547
26,27,0.00202964372991
27,33,0.0017698638897
27,36,0.00128169244773
27,37,0.000211728169963
27,38,0.000451155249983
27,39,5.72957916835e-05
27,40,0.0379421429866
27,27,0.00950186282912
27,28,0.000333103277057
27,29,0.000392463285873
27,31,0.000130751840781
28,28,0.0107694933954
28,29,0.00567006442981
28,30,0.000153133210367
28,31,0.0015241493271
28,32,1.03754091166e-05
28,33,1.27577847411e-05
28,34,0.00386749254713
28,35,1.37676491032e-05
28,36,0.0100282598727
28,37,0.010522721507
28,38,0.000187776537505
28,39,0.000472139449238
28,40,0.00162395346669
28,62,4.97230460025e-06
28,63,2.74159908586e-06
28,82,0.000175098769098
29,29,0.0127400818172
29,30,0.00741875946914
29,31,0.00329557892842
29,32,2.20677318917e-05
29,33,0.00134385205946
29,34,0.000763854413995
29,35,2.88527173565e-06
29,36,0.00635859495552
29,37,0.00240002438639
29,38,0.000103039982364
29,39,0.000485317469654
29,60,1.3049617261e-05
29,62,2.20421016178e-05
29,69,1.50346419062e-06
29,70,1.49724228384e-06
29,72,9.89226292016e-06
29,79,1.18426298579e-05
29,82,0.000228091820207
30,33,0.00200450396552
30,37,0.00119449952388
30,82,3.98660973033e-06
30,36,0.00337602427249
30,30,0.010261666096
30,31,0.000660915016004
31,31,0.018596835093
31,32,0.000209038125052
31,33,0.00260685430248
31,34,0.000709597030467
31,35,2.53174582733e-06
31,36,0.0045625310137
31,37,7.79089423586e-05
31,39,9.99119144541e-05
31,60,0.000262624187812
31,62,0.000600032149041
31,63,5.68777812744e-06
31,69,9.30723374319e-06
31,70,1.2873784294e-05
31,72,0.00105087837831
31,74,8.22086396233e-05
31,79,3.4254339144e-06
32,32,0.00412674313862
32,33,0.00107275181379
33,33,0.0140638215109
33,34,1.86556454577e-05
33,36,0.00800617457927
33,38,0.000167167685262
34,34,0.0121953373251
34,35,0.03187235441
34,36,0.00736247519264
34,37,0.0312183449461
34,38,0.00494468337248
34,39,0.00964354276107
34,40,0.0195866684835
34,47,9.57833738593e-06
34,48,0.00330585182983
34,49,8.24175652103e-06
34,56,0.00014604500577
34,58,0.000237037917703
34,60,0.00011325636438
34,62,0.00011527163142
34,65,2.56235039362e-06
34,69,9.16688085835e-05
34,70,3.46594130498e-05
34,72,0.00185741802671
34,74,0.000496221383502
34,75,0.00119392124872
34,76,0.000230696837104
34,78,6.98787108878e-06
34,79,0.000419124734008
34,82,0.0582487113788
35,35,0.0182630519031
35,36,0.000848336147399
35,37,0.00595399271247
35,38,0.00493258392039
35,39,0.00020794428083
35,40,0.00134920692248
35,41,0.00101687299725
35,42,5.92896564987e-05
35,43,0.00154564634281
35,44,0.00383269456849
35,45,4.34487054662e-05
35,47,0.00296064114137
35,48,0.000339416213504
35,52,6.40738635474e-05
35,56,0.000113508677622
35,58,0.000131441666426
35,60,2.09383538453e-05
35,62,6.92013150685e-06
35,69,3.61129949351e-05
35,72,5.28718065194e-05
35,74,4.6507791601e-06
35,75,5.31042355192e-06
35,76,0.0128691213982
35,79,0.00398272287957
36,36,0.0105561330182
36,37,0.0275884190925
36,38,0.00820733760994
36,39,0.00042692603301
36,40,0.00584005864082
36,48,4.8734767346e-05
36,60,1.31761149462e-05
36,62,5.54316089034e-05
36,70,1.87463773647e-06
36,72,0.000105342957498
36,74,2.54023424039e-05
36,75,3.29467654246e-06
36,82,0.00519230841253
37,37,0.00341224730532
37,38,0.00574950312373
37,39,0.000226095430104
37,40,0.00268613435298
37,60,1.39638598851e-05
37,62,3.55582301373e-05
37,72,2.16775756402e-05
